Country,Indicator,Year_2000,Year_2025_Forecast
日本,国土面積(km²),377975,377975
日本,人口(万人),12693,12190
日本,名目GDP(10億ドル),4888,4310
日本,平均年齢(歳),41.4,50.2
アメリカ,国土面積(km²),9833520,9833520
アメリカ,人口(万人),28216,34181
アメリカ,名目GDP(10億ドル),10252,29950
アメリカ,平均年齢(歳),35.3,39.6
イギリス,国土面積(km²),243610,243610
イギリス,人口(万人),5889,6800
イギリス,名目GDP(10億ドル),1649,3780
イギリス,平均年齢(歳),37.7,41.5
ドイツ,国土面積(km²),357592,357592
ドイツ,人口(万人),8221,8350
ドイツ,名目GDP(10億ドル),1948,4700
ドイツ,平均年齢(歳),40.1,46.8
フランス,国土面積(km²),551695,551695
フランス,人口(万人),6091,6500
フランス,名目GDP(10億ドル),1364,3230
フランス,平均年齢(歳),37.5,42.8
イタリア,国土面積(km²),301340,301340
イタリア,人口(万人),5694,5790
イタリア,名目GDP(10億ドル),1144,2280
イタリア,平均年齢(歳),40.3,48.5
カナダ,国土面積(km²),9984670,9984670
カナダ,人口(万人),3069,4100
カナダ,名目GDP(10億ドル),742,2410
カナダ,平均年齢(歳),36.8,42.0
オーストラリア,国土面積(km²),7692024,7692024
オーストラリア,人口(万人),1915,2750
オーストラリア,名目GDP(10億ドル),415,1890
オーストラリア,平均年齢(歳),35.3,39.8
韓国,国土面積(km²),100210,100210
韓国,人口(万人),4701,5150
韓国,名目GDP(10億ドル),562,1800
韓国,平均年齢(歳),31.8,46.5
スペイン,国土面積(km²),505992,505992
スペイン,人口(万人),4058,4780
スペイン,名目GDP(10億ドル),631,1690
スペイン,平均年齢(歳),37.6,45.9
オランダ,国土面積(km²),41543,41543
オランダ,人口(万人),1593,1800
オランダ,名目GDP(10億ドル),407,1200
オランダ,平均年齢(歳),37.8,43.5
スイス,国土面積(km²),41285,41285
スイス,人口(万人),718,890
スイス,名目GDP(10億ドル),277,980
スイス,平均年齢(歳),38.9,43.8
スウェーデン,国土面積(km²),450295,450295
スウェーデン,人口(万人),888,1070
スウェーデン,名目GDP(10億ドル),299,650
スウェーデン,平均年齢(歳),39.4,41.5
ベルギー,国土面積(km²),30528,30528
ベルギー,人口(万人),1026,1180
ベルギー,名目GDP(10億ドル),237,650
ベルギー,平均年齢(歳),38.9,42.5
オーストリア,国土面積(km²),83879,83879
オーストリア,人口(万人),801,910
オーストリア,名目GDP(10億ドル),204,550
オーストリア,平均年齢(歳),38.5,44.9
アイルランド,国土面積(km²),70273,70273
アイルランド,人口(万人),380,530
アイルランド,名目GDP(10億ドル),100,600
アイルランド,平均年齢(歳),33.2,39.5
デンマーク,国土面積(km²),43094,43094
デンマーク,人口(万人),534,600
デンマーク,名目GDP(10億ドル),176,430
デンマーク,平均年齢(歳),38.5,42.5
フィンランド,国土面積(km²),338424,338424
フィンランド,人口(万人),518,560
フィンランド,名目GDP(10億ドル),132,320
フィンランド,平均年齢(歳),39.5,43.5
ノルウェー,国土面積(km²),385207,385207
ノルウェー,人口(万人),450,560
ノルウェー,名目GDP(10億ドル),171,550
ノルウェー,平均年齢(歳),37.4,40.5
ニュージーランド,国土面積(km²),268838,268838
ニュージーランド,人口(万人),386,530
ニュージーランド,名目GDP(10億ドル),54,270
ニュージーランド,平均年齢(歳),34.4,38.5
